Match Key,Match Name,Match Type,Match Number,Alliance,Team1,Team2,Team3,Score,Adjustpoints,Autotowerpoints,Autotowerrobot1,Autotowerrobot2,Autotowerrobot3,Endgametowerpoints,Endgametowerrobot1,Endgametowerrobot2,Endgametowerrobot3,Energizedachieved,Foulpoints,G206penalty,Hubscore,Majorfoulcount,Minorfoulcount,Penalties,Rp,Superchargedachieved,Totalautopoints,Totalpoints,Totalteleoppoints,Totaltowerpoints,Traversalachieved
2026arli_f1m1,F1,F,1,Blue,frc5437,frc4766,frc3937,209,0.0,15.0,None,Level1,None,10.0,None,Level1,None,False,0.0,False,"{'autoCount': 21, 'autoPoints': 21, 'endgameCount': 68, 'endgamePoints': 68, 'shift1Count': 33, 'shift1Points': 33, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 60, 'shift3Points': 60, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 163, 'teleopPoints': 163, 'totalCount': 184, 'totalPoints': 184, 'transitionCount': 2, 'transitionPoints': 2, 'uncounted': 0}",1.0,0.0,None,0.0,False,36.0,209.0,173.0,25.0,False
2026arli_f1m1,F1,F,1,Red,frc6186,frc4499,frc4522,264,0.0,0.0,None,None,None,0.0,None,None,None,False,15.0,False,"{'autoCount': 41, 'autoPoints': 41, 'endgameCount': 51, 'endgamePoints': 51, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 67, 'shift2Points': 67, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 72, 'shift4Points': 72, 'teleopCount': 208, 'teleopPoints': 208, 'totalCount': 249, 'totalPoints': 249, 'transitionCount': 18, 'transitionPoints': 18, 'uncounted': 4}",0.0,0.0,None,0.0,False,41.0,264.0,208.0,0.0,False
2026arli_f1m2,F2,F,2,Blue,frc5437,frc4766,frc3937,306,0.0,15.0,None,Level1,None,10.0,None,Level1,None,False,0.0,False,"{'autoCount': 53, 'autoPoints': 53, 'endgameCount': 97, 'endgamePoints': 97, 'shift1Count': 59, 'shift1Points': 59, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 72, 'shift3Points': 72, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 228, 'teleopPoints': 228, 'totalCount': 281, 'totalPoints': 281, 'transitionCount': 0, 'transitionPoints': 0, 'uncounted': 0}",0.0,0.0,None,0.0,False,68.0,306.0,238.0,25.0,False
2026arli_f1m2,F2,F,2,Red,frc6186,frc4499,frc4522,550,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 103, 'autoPoints': 103, 'endgameCount': 117, 'endgamePoints': 117, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 175, 'shift2Points': 175, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 118, 'shift4Points': 118, 'teleopCount': 447, 'teleopPoints': 447, 'totalCount': 550, 'totalPoints': 550, 'transitionCount': 37, 'transitionPoints': 37, 'uncounted': 9}",0.0,0.0,None,0.0,False,103.0,550.0,447.0,0.0,False
2026arli_qm1,Qm1,Qm,1,Blue,frc6424,frc7255,frc1209,33,0.0,0.0,None,None,None,0.0,None,None,None,False,5.0,False,"{'autoCount': 5, 'autoPoints': 5, 'endgameCount': 4, 'endgamePoints': 4, 'shift1Count': 4, 'shift1Points': 4, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 15, 'shift3Points': 15, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 23, 'teleopPoints': 23, 'totalCount': 28, 'totalPoints': 28, 'transitionCount': 0, 'transitionPoints': 0, 'uncounted': 0}",0.0,0.0,None,0.0,False,5.0,33.0,23.0,0.0,False
2026arli_qm1,Qm1,Qm,1,Red,frc3184,frc5454,frc127,97,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 14, 'autoPoints': 14, 'endgameCount': 31, 'endgamePoints': 31, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 44, 'shift2Points': 44, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 7, 'shift4Points': 7, 'teleopCount': 83, 'teleopPoints': 83, 'totalCount': 97, 'totalPoints': 97, 'transitionCount': 1, 'transitionPoints': 1, 'uncounted': 0}",0.0,1.0,None,3.0,False,14.0,97.0,83.0,0.0,False
2026arli_qm10,Qm10,Qm,10,Blue,frc16,frc7483,frc3184,235,0.0,0.0,None,None,None,0.0,None,None,None,True,15.0,False,"{'autoCount': 13, 'autoPoints': 13, 'endgameCount': 59, 'endgamePoints': 59, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 66, 'shift2Points': 66, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 64, 'shift4Points': 64, 'teleopCount': 207, 'teleopPoints': 207, 'totalCount': 220, 'totalPoints': 220, 'transitionCount': 18, 'transitionPoints': 18, 'uncounted': 0}",0.0,0.0,None,4.0,False,13.0,235.0,207.0,0.0,False
2026arli_qm10,Qm10,Qm,10,Red,frc4603,frc9067,frc5454,37,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 11, 'autoPoints': 11, 'endgameCount': 12, 'endgamePoints': 12, 'shift1Count': 6, 'shift1Points': 6, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 3, 'shift3Points': 3, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 26, 'teleopPoints': 26, 'totalCount': 37, 'totalPoints': 37, 'transitionCount': 5, 'transitionPoints': 5, 'uncounted': 3}",1.0,0.0,None,0.0,False,11.0,37.0,26.0,0.0,False
2026arli_qm11,Qm11,Qm,11,Blue,frc5437,frc4766,frc3937,251,0.0,0.0,None,None,None,0.0,None,None,None,True,0.0,False,"{'autoCount': 47, 'autoPoints': 47, 'endgameCount': 48, 'endgamePoints': 48, 'shift1Count': 0, 'shift1Points': 0, 'shift2Count': 81, 'shift2Points': 81, 'shift3Count': 0, 'shift3Points': 0, 'shift4Count': 61, 'shift4Points': 61, 'teleopCount': 204, 'teleopPoints': 204, 'totalCount': 251, 'totalPoints': 251, 'transitionCount': 14, 'transitionPoints': 14, 'uncounted': 1}",0.0,0.0,None,4.0,False,47.0,251.0,204.0,0.0,False
2026arli_qm11,Qm11,Qm,11,Red,frc4764,frc1209,frc127,46,0.0,0.0,None,None,None,0.0,None,None,None,False,0.0,False,"{'autoCount': 12, 'autoPoints': 12, 'endgameCount': 17, 'endgamePoints': 17, 'shift1Count': 4, 'shift1Points': 4, 'shift2Count': 0, 'shift2Points': 0, 'shift3Count': 12, 'shift3Points': 12, 'shift4Count': 0, 'shift4Points': 0, 'teleopCount': 34, 'teleopPoints': 34, 'totalCount': 46, 'totalPoints': 46, 'transitionCount': 1, 'transitionPoints': 1, 'uncounted': 0}",0.0,0.0,None,0.0,False,12.0,46.0,34.0,0.0,False
