,Unnamed: 0,Team,Numberofmatches,Score,Adjustpoints,Autotowerpoints,Endgametowerpoints,Foulpoints,Majorfoulcount,Minorfoulcount,Rp,Totalautopoints,Totalteleoppoints,Totaltowerpoints,Scorepercent,Totalautopointspercent,sum
0,0,2052,17,217.882,0.0,0.0,0.0,8.529,0.353,0.706,2.176,55.647,153.706,0.0,0.8,0.6,1.4
22,22,3293,13,201.769,0.0,12.692,5.385,4.615,0.154,0.154,2.385,50.231,146.923,18.077,0.741,0.542,1.282
18,18,3100,17,214.588,0.0,0.882,2.353,9.412,0.412,0.706,2.235,41.824,163.353,3.235,0.788,0.451,1.239
36,36,6147,26,189.808,0.0,1.154,2.692,3.077,0.308,0.769,1.846,38.269,148.462,3.846,0.697,0.413,1.11
30,30,4655,16,189.25,0.0,0.0,0.625,7.188,0.188,0.562,2.125,33.375,148.688,0.625,0.695,0.36,1.055
20,20,3206,15,186.0,0.0,2.0,2.0,5.667,0.2,0.6,1.467,32.533,147.8,4.0,0.683,0.351,1.034
44,44,10479,8,174.75,0.0,0.0,0.0,11.25,0.625,0.75,2.125,20.25,143.25,0.0,0.642,0.218,0.86
40,40,8234,9,131.0,0.0,1.667,2.222,1.667,0.222,0.667,1.778,33.0,96.333,3.889,0.481,0.356,0.837
19,19,3130,13,131.308,0.0,2.308,14.615,5.385,0.308,0.615,2.154,32.692,93.231,16.923,0.482,0.352,0.835
2,2,2169,18,133.167,0.0,0.833,0.0,7.778,0.389,0.667,1.278,31.722,93.667,0.833,0.489,0.342,0.831
23,23,3630,18,132.556,0.0,0.0,2.222,9.167,0.444,0.5,1.278,31.722,91.667,2.222,0.487,0.342,0.829
42,42,8878,9,116.889,0.0,0.0,0.0,3.333,0.0,0.444,1.889,28.444,85.111,0.0,0.429,0.307,0.736
7,7,2472,16,116.438,0.0,0.938,0.0,3.438,0.312,0.688,1.312,26.938,86.062,0.938,0.428,0.29,0.718
37,37,6217,11,117.455,0.0,1.364,2.727,1.818,0.273,0.727,1.909,24.0,91.636,4.091,0.431,0.259,0.69
34,34,5464,9,105.111,0.0,1.667,1.111,5.0,0.111,0.667,1.444,25.667,74.444,2.778,0.386,0.277,0.663
14,14,2549,11,117.182,0.0,0.0,0.909,1.818,0.364,0.727,1.273,18.636,96.727,0.909,0.43,0.201,0.631
