team, OPR
3926, 41.22
2470, 38.19
2530, 37.60
2472, 32.77
2823, 32.05
2052, 30.79
2491, 29.22
3630, 28.35
2175, 28.06
7068, 27.63
2846, 27.06
2207, 26.25
2502, 25.75
4663, 23.99
5434, 23.18
2508, 22.91
2239, 22.53
2855, 21.60
3454, 21.17
2143, 20.87
4207, 20.68
2500, 20.17
5913, 19.86
7019, 18.39
3026, 17.34
3018, 17.18
3407, 17.15
5996, 15.36
2169, 15.23
3883, 14.84
3610, 14.28
2574, 14.05
4664, 13.82
4277, 13.79
4225, 13.70
2450, 13.36
3100, 13.34
4215, 12.54
3042, 12.37
5278, 10.44
3751, 10.40
3038, 10.11
4198, 9.88
8234, 9.61
3691, 8.41
3007, 7.23
2879, 7.21
4693, 7.12
2518, 7.02
3202, 6.98
2177, 6.18
2606, 5.73
8787, 5.54
4632, 5.41
2513, 5.16
2498, 4.86
5271, 4.16
3122, 3.68
7850, 1.12
2225, 0.03
2511, -0.54
9157, -1.03
